afsd_h,frzmlt_h,sst_h
"0.093161985,0.013914478,0.005308015,0.0025175042,0.0013044926,0.0007019022,0.00031993169,0.00018356845,9.932639e-05,6.6389526e-05,2.135336e-05,0.0005241036",3748.7693,-1.8090767
"0.09312144,0.013907491,0.0053012175,0.0025101432,0.0012962484,0.00069302146,0.00030834554,0.00017429455,9.061207e-05,5.5642908e-05,2.179746e-05,0.00055181887",3663.4312,-1.8116294
"0.093146466,0.013911953,0.0053061354,0.002515704,0.0013026027,0.00069994706,0.0003178373,0.00018181246,9.749391e-05,6.327817e-05,2.2838864e-05,0.00052907754",3825.7883,-1.811542
"0.09316568,0.013915126,0.005308689,0.002518252,0.0013053403,0.0007028225,0.00032118117,0.00018455963,0.000100237485,6.741965e-05,2.145955e-05,0.00052111386",4134.626,-1.8121895
"0.09318862,0.013920435,0.0053190715,0.0025315513,0.0013212137,0.000720395,0.0003448497,0.00020347607,0.00011789376,8.8480185e-05,2.1763322e-05,0.0004637266",4978.4883,-1.8121096
"0.093209215,0.0139257135,0.005330913,0.0025470732,0.0013399939,0.0007414467,0.00037608354,0.00022786511,0.00013938491,0.00010824382,3.1711763e-05,0.0003883918",4978.4966,-1.8121096
"0.09321887,0.013929075,0.005340797,0.0025604994,0.0013565584,0.0007603315,0.0004075016,0.00025178454,0.0001590684,0.00011956349,5.1853705e-05,0.00031302642",4978.533,-1.8121096
"0.09323386,0.013931371,0.0053419354,0.0025613059,0.0013572696,0.0007610184,0.0004085112,0.00025254363,0.0001596847,0.00011991828,5.2482e-05,0.0003108083",4978.4873,-1.8121096
"0.093127035,0.013913014,0.005324179,0.0025419826,0.001335316,0.00073687045,0.00037028932,0.0002233239,0.00013527214,0.000103697326,3.10901e-05,0.0004013412",5397.7085,-1.8185093
"0.0931968,0.013922516,0.005323694,0.0025375907,0.0013284906,0.000728509,0.00035632754,0.00021254239,0.0001261175,9.7182e-05,2.3711145e-05,0.00043595576",5347.089,-1.8116
"0.09318334,0.013919709,0.0053190873,0.0025318635,0.0013217254,0.00072105316,0.0003463576,0.00020456746,0.00011865553,8.8187764e-05,2.3737697e-05,0.0004600848",5329.464,-1.8081089
"0.093171075,0.013917459,0.005316368,0.0025287098,0.0013180946,0.0007170943,0.00034112445,0.00020038013,0.00011472965,8.340428e-05,2.3839122e-05,0.00047268212",5304.228,-1.8020104
